Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Nicolas Brussino,ATL,4,2.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0.8,0.8,0,0,0,0
Nikola Jokic,DEN,75,32.5,6.7,13.5,0.499,1.5,3.7,0.396,3.5,4.2,0.85,2.8,2.8,2.6,8.1,10.7,6.1,1.2,0.8,18.5
Gary Harris,DEN,67,34.4,6.6,13.6,0.485,2.3,5.9,0.396,2,2.4,0.827,1.8,1.8,0.6,2.1,2.6,2.9,1.8,0.2,17.5
Jamal Murray,DEN,81,31.7,5.9,13.1,0.451,2,5.4,0.378,2.8,3.1,0.905,2.1,2.1,1,2.7,3.7,3.4,1,0.3,16.7
Will Barton,DEN,81,33.1,5.7,12.7,0.452,1.9,5.2,0.37,2.2,2.8,0.805,1.8,2.1,0.9,4.2,5,4.1,1,0.6,15.7
Paul Millsap,DEN,38,30.1,5.3,11.4,0.464,1,3,0.345,2.9,4.2,0.696,1.9,2.6,1.7,4.7,6.4,2.7,1,1.2,14.6
Wilson Chandler,DEN,74,31.7,3.8,8.5,0.445,1.2,3.3,0.358,1.2,1.5,0.772,1.2,2.1,1.4,4,5.4,2.2,0.6,0.5,10
Trey Lyles,DEN,73,19,3.7,7.5,0.491,1.1,3,0.381,1.4,2,0.706,0.8,1.5,0.8,4,4.8,1.2,0.4,0.5,9.9
Emmanuel Mudiay,DEN,42,17.9,3.1,7.7,0.401,0.9,2.4,0.373,1.5,1.9,0.808,1.7,1.1,0.4,1.9,2.2,2.9,0.5,0.1,8.5
Devin Harris,DEN,27,19.7,2.6,6.3,0.406,1.3,3.8,0.343,1.8,2.1,0.845,1,2,0.1,1.4,1.6,2.5,0.5,0.1,8.2
Mason Plumlee,DEN,74,19.5,3,5,0.601,0,0,0,1.1,2.4,0.458,1.4,2.5,1.8,3.6,5.4,1.9,0.7,1.1,7.1
Kenneth Faried,DEN,33,14,2.3,4.5,0.514,0,0,0,1.1,1.5,0.706,0.7,1.5,2.1,2.6,4.6,0.5,0.4,0.4,5.7
Torrey Craig,DEN,39,16.1,1.6,3.5,0.453,0.4,1.5,0.293,0.6,0.9,0.629,0.5,1.6,1,2.2,3.3,0.6,0.3,0.4,4.2
Monte Morris,DEN,3,8.4,1.3,2,0.667,0,0.3,0,0.7,0.7,1,0.3,0.3,0,0.7,0.7,2.3,1,0,3.3
Juancho Hernangomez,DEN,25,11.1,1.2,3,0.387,0.6,2,0.28,0.4,0.5,0.833,0.4,1,0.7,1.4,2.2,0.5,0.2,0.1,3.3
Malik Beasley,DEN,62,9.4,1.2,2.9,0.41,0.5,1.3,0.341,0.4,0.5,0.667,0.4,0.6,0.2,0.9,1.1,0.5,0.2,0.1,3.2
Darrell Arthur,DEN,19,7.4,1.2,2.5,0.468,0.4,1.2,0.348,0.1,0.2,0.667,0.8,1.2,0.2,0.6,0.8,0.5,0.4,0.2,2.8
Richard Jefferson,DEN,20,8.2,0.6,1.4,0.444,0.1,0.3,0.286,0.2,0.3,0.571,0.2,0.6,0.1,0.8,0.8,0.8,0.1,0.1,1.5
Tyler Lydon,DEN,1,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
